posterior_label,observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,posterior_prediction_lower,posterior_prediction_median,posterior_prediction_upper
SFRF,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,0,9.25,0.4900000000000002,0.009999999999999997,0.741642078798751,0.7778614137987434,0.813094664421982
SFRF,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,1,9.75,0.6099999999999999,0.009999999999999998,0.8482841274953938,0.8827801303319176,0.915089870568411
SFRF,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,2,10.25,0.6600000000000001,0.009999999999999998,0.9337984154626985,0.9774797809961526,1.0160236947331034
SFRF,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,3,10.75,0.8300000000000001,0.01,0.9911549622335326,1.0622449837454295,1.1224010203186396
SFRF,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,0,9.25,0.27,0.009999999999999997,0.6601644751966247,0.7101183989162323,0.7542562358668901
SFRF,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,1,9.75,0.28000000000000025,0.009999999999999998,0.760064892854801,0.8164271021511114,0.8634149277066467
SFRF,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,2,10.25,0.3799999999999999,0.009999999999999998,0.8412136292971437,0.9162959727151614,0.979153782776456
SFRF,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,3,10.75,0.6699999999999999,0.009999999999999998,0.9091177666157646,1.0090041046816207,1.0957366546190979
SFRF,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,4,11.25,0.7599999999999998,0.009999999999999998,1.0173500690275206,1.1527717355120712,1.2622121228080454
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,0,7.176091259055681,-1.2548312112854956,0.130493336169754,-1.4256175810291756,-1.3696052841803263,-1.3122984267462101
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,1,7.301029995663981,-1.6000789981649997,0.11941405989069884,-1.4140506756029676,-1.3666276675738085,-1.3182401728551811
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,2,7.414973347970818,-1.3525196308193832,0.0551227713848271,-1.4032187136137149,-1.3666867182095468,-1.3297919631308739
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,3,7.544068044350276,-1.3065392744797073,0.03816103744721452,-1.392968624928971,-1.363796279918681,-1.335794354458769
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,4,7.672097857935717,-1.3143671899501175,0.03204927461666128,-1.3846505107604405,-1.3581852739918674,-1.3344918791790497
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,5,7.799340549453582,-1.3502289006582016,0.027102806906128974,-1.3792151165081867,-1.3566983429666228,-1.3363617868568372
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,6,7.924279286061882,-1.4306079042053748,0.03231670600148942,-1.3929925603036377,-1.3694392242951237,-1.346914163139134
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,7,8.049218022670182,-1.3628186867612504,0.019898918921290486,-1.4263301377301503,-1.3996743826291143,-1.3741335003337833
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,8,8.173186268412275,-1.4646271911470679,0.018189123881309423,-1.4722465178053032,-1.4450437931827351,-1.418228940950096
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,9,8.298853076409706,-1.5094819941361866,0.01564326332076906,-1.5263752976584581,-1.5016969103392404,-1.475499410529111
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,10,8.426511261364576,-1.5542100316265455,0.014438267299703886,-1.5867852109500025,-1.5635891193943081,-1.5387215842152575
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,11,8.551449997972876,-1.6191670187810951,0.012981402409830861,-1.6561906761343994,-1.6317745660926557,-1.6068597994729275
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,12,8.677606952720494,-1.7167745098035025,0.012241718033736854,-1.7357450873193068,-1.708491397104036,-1.6818526794859405
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,13,8.803457115648413,-1.7776859816020187,0.011148050460116592,-1.8268909199047725,-1.795522942130122,-1.7653121511299639
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,14,8.929418925714293,-1.8865052073171946,0.010780359479867954,-1.9287684600794321,-1.8909281542529899,-1.8553467785059923
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,15,9.046495164334708,-1.9838967532295593,0.010792319053286932,-2.0437963783895468,-1.9991032893518805,-1.95785400467517
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,16,9.181271771559462,-2.1454430580455623,0.012160804610744418,-2.1849672253400523,-2.131214628380214,-2.079822931175111
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,17,9.307067950661299,-2.3118583555290706,0.014353453131835519,-2.3618350422842145,-2.297554101538771,-2.2360100937166623
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,18,9.433129517580486,-2.5461173537048523,0.01828608344855797,-2.5862606443405367,-2.510035982729669,-2.436195631057867
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,19,9.55894844597804,-2.7685525915695606,0.024649146270184562,-2.884543990214555,-2.792112985428608,-2.7024012646524094
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,20,9.684755622108623,-3.124566711232598,0.03730136654383758,-3.2524602179789475,-3.150169578914106,-3.046248489349835
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,21,9.810635700275537,-3.470466976552361,0.05022453192078422,-3.6866994280611194,-3.563600215285491,-3.437052244022665
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,22,9.936513742478894,-3.947588231272023,0.12408413768664336,-4.162083151020962,-3.99576075273017,-3.8304284509825033
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,23,10.062356318085438,-5.035724319972574,0.43429448190325176,-4.731250872627259,-4.499221969055103,-4.265090368989947
SFRF,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,24,10.314099063295284,-4.792686271286279,0.43429448190325176,-5.41775914836116,-5.124870440768172,-4.815113251763516
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,0,8.0,-1.37,0.03388554953347397,-1.897293982040944,-1.7031880556625387,-1.5793457531985764
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,1,8.25,-1.53,0.02764091299016487,-1.6803803758305402,-1.5962069267327517,-1.5033028327816729
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,2,8.5,-1.71,0.03257053716126054,-1.6248086919853348,-1.5481606585579142,-1.4518766770116847
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,3,8.75,-1.8599999999999999,0.03875116762355399,-1.6290489133286976,-1.5377767704132141,-1.4291340441127616
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,4,9.0,-2.03,0.07310630328559199,-1.6443285304701654,-1.5518938473291726,-1.4486227848589177
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,5,9.25,-2.01,0.11430786925422912,-1.6707249935022714,-1.5775738258236325,-1.486419940669417
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,6,9.5,-2.1,0.13425025335825852,-1.7395912733412888,-1.649148171032257,-1.5333908050070209
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,7,9.75,-2.17,0.12870137534632478,-1.8929763137893834,-1.7707147644553434,-1.6218869334651262
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,8,10.0,-2.24,0.1151563350336599,-2.097310433023568,-1.9239446833720713,-1.759709557469687
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,9,10.25,-2.31,0.09505799913247222,-2.3590519448465272,-2.108185501596834,-1.9104969750392604
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,10,10.5,-2.41,0.08563784812230946,-2.6636671570624935,-2.2942603388404947,-2.0220785838364987
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,11,10.75,-2.5300000000000002,0.08801978149982136,-2.998489865522159,-2.4699672213314767,-2.123025468732218
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,12,11.0,-2.91,0.08999910563249144,-3.41873819803135,-2.696535395361536,-2.252971305211549
Sizes,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,13,11.25,-3.46,0.09992050649589666,-4.107586706210305,-3.2372744070136688,-2.7475733615653115
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,0,8.75,-1.9899999999999998,0.035241959302866804,-1.5945556459629642,-1.5014554589629092,-1.4106300940775238
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,1,9.0,-2.14,0.038005862162430896,-1.6392176142176569,-1.5375883372033972,-1.4264908215737664
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,2,9.25,-2.24,0.039487599867068804,-1.7218124901585314,-1.6102031189680757,-1.471716211323233
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,3,9.5,-2.29,0.048985169877665526,-1.8440904609078852,-1.7144378229376749,-1.5502220495403691
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,4,9.75,-2.48,0.0510303444782522,-2.0212513370454266,-1.849667917037235,-1.6798625238155018
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,5,10.0,-2.59,0.04758057141795755,-2.2222917347860434,-1.9986087918690527,-1.8163492671706674
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,6,10.25,-2.73,0.05422430948896547,-2.5508314230514757,-2.1986662080715393,-1.9697688962783577
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,7,10.5,-2.64,0.03767295898922773,-2.9280521640844057,-2.377140310334415,-2.0779667173915546
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,8,10.75,-2.7199999999999998,0.04292670823333299,-3.44122465902369,-2.592702531374917,-2.153804830611883
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,9,11.0,-3.01,0.05139680935005372,-4.136573932677954,-3.0373663567581817,-2.3873242746477374
Sizes,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,10,11.25,-3.62,0.06979838494741979,-4.988984316427095,-3.8925314801223703,-3.1542120119583354
Sizes,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,0,9.25,0.4900000000000002,0.009999999999999997,0.4608682328156028,0.4975382522756504,0.5320563074578731
Sizes,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,1,9.75,0.6099999999999999,0.009999999999999998,0.5442466493098802,0.5711754022257967,0.5971805714150484
Sizes,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,2,10.25,0.6600000000000001,0.009999999999999998,0.6206105662192013,0.6452308657893844,0.6703093495841315
Sizes,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,3,10.75,0.8300000000000001,0.01,0.7415423219063534,0.7825291247564288,0.8312957737451828
Sizes,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,0,9.25,0.27,0.009999999999999997,0.23166344992527854,0.2693714121576234,0.3057177629298184
