target_redshift,redshift,output_name,node_index,merger_tree_index,is_central_galaxy,weight,stellar_mass_msun,log10_stellar_mass_msun,sfr_raw_msun_per_gyr,sfr_msun_per_year,log10_ssfr_per_year,black_hole_mass_msun,mdot_rest_msun_per_gyr,mdot_rest_g_per_s,radiative_efficiency_catalog,radiative_efficiency_used,rest_mass_power_erg_s,eddington_luminosity_erg_s,bolometric_luminosity_catalog_erg_s,bolometric_luminosity_erg_s,eddington_ratio_catalog,eddington_ratio,accretion_rate_eddington_paper,accretion_rate_eddington_galacticus,fraction_adaf,valid_accreting_black_hole,power_jet_galacticus,power_jet_erg_s,population_default,thin_disk_dominated
0,0,Output19,18203,17372,False,7.70435935121e-07,30189940173.5,10.4798622524,433546890.73,0.43354689073,-10.8428261765,6847217.03612,1.66150636646,1.04714733504e+17,2.5931967812e-06,2.5931967812e-06,9.41129090268e+37,8.62749346551e+44,2.44053292758e+32,2.44053292758e+32,2.82878559959e-13,2.82878559959e-13,1.09084880102e-07,1.09273319285e-07,1,True,298657490271,1.88225818054e+38,star_forming,False
0,0,Output19,16657,17372,False,7.70435935121e-07,105605299836,11.023685714,446154672.067,0.446154672067,-11.3742002687,15044065.3027,111.821823763,7.04745567741e+18,7.66707129467e-05,7.66707129467e-05,6.33393728699e+39,1.89555222815e+45,4.85627487553e+35,4.85627487553e+35,2.56193145376e-10,2.56193145376e-10,3.34147336747e-06,3.34724561115e-06,1,True,2.01000886406e+13,1.2667874574e+40,star_forming,False
0,0,Output19,16304,17372,False,7.70435935121e-07,43038875871.1,10.6338609195,1815775441.93,1.81577544193,-10.3747987815,3085083.11878,0.618249886588,3.89645645783e+16,2.48055556442e-06,2.48055556442e-06,3.50196042019e+37,3.88720472967e+44,8.68680740668e+31,8.68680740668e+31,2.23471826436e-13,2.23471826436e-13,9.00894257889e-08,9.02450511859e-08,1,True,111131057465,7.00392084039e+37,star_forming,False
0,0,Output19,13361,17372,False,7.70435935121e-07,147042317511,11.1674423389,74260815.6737,0.0742608156737,-12.2966826238,14975465.6297,0.00129715345214,8.17517650233e+13,9.30506418088e-10,9.30506418088e-10,7.34748221856e+34,1.88690866934e+45,6.83687936115e+25,6.83687936115e+25,3.62332288374e-20,3.62332288374e-20,3.89392573044e-11,3.90065231053e-11,1,True,233164676.546,1.46949644371e+35,quiescent,False
0,0,Output19,13360,17372,False,7.70435935121e-07,29258885751.4,10.4662577831,417183827.698,0.417183827698,-10.8459303186,1862342.65626,205.030587564,1.29218423537e+19,0.00142951238754,0.00142951238754,1.16135727342e+40,2.34655174689e+44,1.66017460872e+37,1.66017460872e+37,7.07495417867e-08,7.07495417867e-08,4.94920802389e-05,4.95775755627e-05,1,True,3.68544604746e+13,2.32271454684e+40,star_forming,False
0,0,Output19,13067,17372,False,7.70435935121e-07,10857328730.3,10.0357229873,238177101.901,0.238177101901,-10.6588229807,618259.070055,174.634814255,1.10061799367e+19,0.00329519764373,0.00329519764373,9.89186121624e+39,7.79006428269e+43,3.25956377718e+37,3.25956377718e+37,4.18425786861e-07,4.18425786861e-07,0.000126980482539,0.000127199835563,1,True,3.13907887398e+13,1.97837224325e+40,star_forming,False
0,0,Output19,12863,17372,False,7.70435935121e-07,13074484913.7,10.1164245883,485763195.577,0.485763195577,-10.4299999814,992765.915236,205.379161767,1.29438108851e+19,0.0020878651742,0.0020878651742,1.16333170655e+40,1.2508850532e+44,2.42887975616e+37,2.42887975616e+37,1.94172897817e-07,1.94172897817e-07,9.30006880792e-05,9.31613425498e-05,1,True,3.69171170486e+13,2.32666341311e+40,star_forming,False
0,0,Output19,12726,17372,False,7.70435935121e-07,17491936716,10.2428378974,1291848946.63,1.29184894663,-10.131626162,636731.110226,47.2803772901,2.97979725378e+18,0.000938921202989,0.000938921202989,2.67810821342e+39,8.02281198885e+43,2.51453258548e+36,2.51453258548e+36,3.1342284837e-08,3.1342284837e-08,3.33811663185e-05,3.34388307693e-05,1,True,8.49869678843e+12,5.35621642685e+39,star_forming,False
0,0,Output19,12240,17372,False,7.70435935121e-07,55264062060.1,10.7424428036,182557320.641,0.182557320641,-11.4810435505,6376471.14938,370.074747223,2.33235811276e+19,0.000631308490511,0.000631308490511,2.09621893251e+40,8.03435364822e+44,1.32336081006e+37,1.32336081006e+37,1.647127906e-08,1.647127906e-08,2.60906978245e-05,2.61357683217e-05,1,True,6.65213191173e+13,4.19243786502e+40,star_forming,False
0,0,Output19,10275,17372,False,7.70435935121e-07,16060827653.4,10.2057679218,588479974.049,0.588479974049,-10.4360362334,1137741.43996,122.558224089,7.7241062889e+18,0.00131708744826,0.00131708744826,6.94208052826e+39,1.43355421435e+44,9.14332712858e+36,9.14332712858e+36,6.37808255665e-08,6.37808255665e-08,4.84256574237e-05,4.85093105505e-05,1,True,2.20299677193e+13,1.38841610565e+40,star_forming,False
