observable_key,method,subset_size,bin_index,x_plot,n_train_mean,n_test_total,pca_components_mean,pca_explained_variance_mean,n_valid,rmse,bias,r2,normalized_rmse,coverage_1sigma
smf_z0,pca_0p9,1024,6,9.5,819.19921875,1024,3.0,0.933681814583099,1024,0.11027425636156264,0.0002560293680508559,0.9339084139039134,1.7183180021621713,0.5322265625
smf_z0,pca_0p9,1024,7,9.75,819.19921875,1024,3.0,0.933681814583099,1024,0.1628559407715297,0.0011581166013247737,0.9058321044180839,2.3966901406102243,0.3984375
smf_z0,pca_0p9,1024,8,10.0,819.19921875,1024,3.0,0.933681814583099,1024,0.21942176656085036,0.0025774670800454095,0.8869577554881678,2.6731258722721143,0.3369140625
smf_z0,pca_0p9,1024,9,10.25,819.19921875,1024,3.0,0.933681814583099,1024,0.2779201908395924,0.0045564339210257205,0.8821493189712708,2.3945636196793396,0.3720703125
smf_z0,pca_0p9,1024,10,10.5,819.19921875,1024,3.0,0.933681814583099,1024,0.34629535382795307,0.0068424113441563,0.882439920047149,2.0538185319321873,0.4306640625
smf_z0,pca_0p9,1024,11,10.75,819.19921875,1024,3.0,0.933681814583099,1024,0.4161576084472495,0.008850078206318753,0.8814270023801393,1.8225625554962361,0.4970703125
smf_z0,pca_0p9,1024,12,11.0,819.19921875,1024,3.0,0.933681814583099,1024,0.5336278245654127,0.009842962739525186,0.8375714240207903,2.04882856140738,0.4267578125
smf_z0,pca_0p9,1024,13,11.25,819.19921875,1024,3.0,0.933681814583099,1024,0.6811501735856944,0.009213355495920915,0.7243093294199245,2.8107886002451896,0.271484375
smf_z0,pca_0p99,64,0,8.0,51.1875,64,5.609375,0.9937154005251545,64,0.18306842604839166,0.0012051745124136114,0.4513601819733295,1.504556005607187,0.53125
smf_z0,pca_0p99,64,1,8.25,51.1875,64,5.609375,0.9937154005251545,64,0.10200769311068107,0.00832530267028275,0.5486218708297739,1.3679911548006116,0.625
smf_z0,pca_0p99,64,2,8.5,51.1875,64,5.609375,0.9937154005251545,64,0.09305634388597171,0.012080077102317729,0.6862118005978276,1.2233019602767987,0.65625
smf_z0,pca_0p99,64,3,8.75,51.1875,64,5.609375,0.9937154005251545,64,0.12754528039498556,0.018746018975467245,0.6681004197282661,1.3439431990177393,0.640625
smf_z0,pca_0p99,64,4,9.0,51.1875,64,5.609375,0.9937154005251545,64,0.17139590341909836,0.028207438579893305,0.6672157371325789,1.4043115932897379,0.703125
smf_z0,pca_0p99,64,5,9.25,51.1875,64,5.609375,0.9937154005251545,64,0.21430412493514697,0.03886634804234315,0.6969927120362884,1.3626039520177184,0.734375
smf_z0,pca_0p99,64,6,9.5,51.1875,64,5.609375,0.9937154005251545,64,0.2707423028008929,0.05049242426307251,0.7088027242493129,1.381626728251166,0.671875
smf_z0,pca_0p99,64,7,9.75,51.1875,64,5.609375,0.9937154005251545,64,0.35566943364116965,0.062226830284818915,0.6905159474940447,1.4519005772492768,0.640625
smf_z0,pca_0p99,64,8,10.0,51.1875,64,5.609375,0.9937154005251545,64,0.4593783351832463,0.0729733281458036,0.6796459699576001,1.4500762159466145,0.609375
smf_z0,pca_0p99,64,9,10.25,51.1875,64,5.609375,0.9937154005251545,64,0.509209563174745,0.07772626399176674,0.72818964980894,1.3485753787182473,0.59375
smf_z0,pca_0p99,64,10,10.5,51.1875,64,5.609375,0.9937154005251545,64,0.5795158209114066,0.07730631599366511,0.7323398028257346,1.3667612145901507,0.625
smf_z0,pca_0p99,64,11,10.75,51.1875,64,5.609375,0.9937154005251545,64,0.7255633825419211,0.07026999412478752,0.6706688953097946,1.4444499081920497,0.53125
smf_z0,pca_0p99,64,12,11.0,51.1875,64,5.609375,0.9937154005251545,64,0.7975696844876504,0.06901323952076273,0.5932235372303316,1.5046230540322667,0.609375
smf_z0,pca_0p99,64,13,11.25,51.1875,64,5.609375,0.9937154005251545,64,0.8827509842607766,0.0877122100968781,0.453511415137379,1.5533807561560926,0.59375
smf_z0,pca_0p99,128,0,8.0,102.390625,128,6.0,0.9939506464895165,128,0.12911025569819812,0.000797057679409097,0.6667216153585741,1.2017096536167897,0.65625
smf_z0,pca_0p99,128,1,8.25,102.390625,128,6.0,0.9939506464895165,128,0.07269232588049293,-0.0007690875484859614,0.7245335628241252,1.252797021919119,0.6015625
smf_z0,pca_0p99,128,2,8.5,102.390625,128,6.0,0.9939506464895165,128,0.06149442435090984,-0.0010632674900235266,0.8488413351538375,1.1049347283393012,0.640625
smf_z0,pca_0p99,128,3,8.75,102.390625,128,6.0,0.9939506464895165,128,0.0775621911906325,-0.0009289813180361969,0.8657747107021354,1.1257412414971197,0.671875
smf_z0,pca_0p99,128,4,9.0,102.390625,128,6.0,0.9939506464895165,128,0.10208146120046746,-0.0007573378150875394,0.8703628316051886,1.130546129987928,0.71875
