target_redshift,redshift,output_name,mode_criterion,lambda_threshold,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
0.05,0.05,pooled_selected_outputs,inclusive,0.1,quiescent,10,10.4,10.2,0,0.000169414302714,0.0083665472965,117.998633627,0,9.0893273906e-05,0,118,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.1,quiescent,10.4,10.8,10.6,0,0.000343887851504,0.0169111733943,57.9989908527,0,4.46771680809e-05,0,58,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.1,quiescent,10.8,11.2,11,0,0.000185064174424,0.00913594608947,107.998094617,0,8.3171556918e-05,0,108,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.1,quiescent,11.2,11.6,11.4,0,0.000130724914987,0.00646193480965,152.998642439,0,0.000117819008543,0,153,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.1,quiescent,11.6,12,11.8,0,0.000621021467311,0.0303350166333,31.9999655819,0,2.46523046175e-05,0,32,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.01,star_forming,10,10.4,10.2,0.0486187244142,0.0454576736755,0.0519877261268,4340.8882819,211.048451091,0.00334299004806,0.000162531911866,4341,211,False
0.05,0.05,pooled_selected_outputs,inclusive,0.01,star_forming,10.4,10.8,10.6,0.0613874770529,0.0567978240835,0.0663221763855,2541.93685785,156.043090531,0.00195751431059,0.000120166864822,2542,156,False
0.05,0.05,pooled_selected_outputs,inclusive,0.01,star_forming,10.8,11.2,11,0.073872717411,0.0659790356711,0.0826286401217,987.974147315,72.9843349939,0.000760874828084,5.62078911602e-05,988,73,False
0.05,0.05,pooled_selected_outputs,inclusive,0.01,star_forming,11.2,11.6,11.4,0.170515110574,0.14063543832,0.205256046332,134.997794,23.0191637711,0.000104005480268,1.77345059682e-05,135,23,False
0.05,0.05,pooled_selected_outputs,inclusive,0.01,star_forming,11.6,12,11.8,0,0.00131271404374,0.0630571020649,14.9999893706,0,1.15527875603e-05,0,15,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.01,quiescent,10,10.4,10.2,0,0.000169414302714,0.0083665472965,117.998633627,0,9.0893273906e-05,0,118,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.01,quiescent,10.4,10.8,10.6,0,0.000343887851504,0.0169111733943,57.9989908527,0,4.46771680809e-05,0,58,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.01,quiescent,10.8,11.2,11,0,0.000185064174424,0.00913594608947,107.998094617,0,8.3171556918e-05,0,108,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.01,quiescent,11.2,11.6,11.4,0,0.000130724914987,0.00646193480965,152.998642439,0,0.000117819008543,0,153,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.01,quiescent,11.6,12,11.8,0,0.000621021467311,0.0303350166333,31.9999655819,0,2.46523046175e-05,0,32,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.001,star_forming,10,10.4,10.2,0.0670666009109,0.0633693385055,0.0709633115431,4340.8882819,291.128622001,0.00334299004806,0.000224202979402,4341,291,False
0.05,0.05,pooled_selected_outputs,inclusive,0.001,star_forming,10.4,10.8,10.6,0.0924593138954,0.0868737728942,0.0983654476411,2541.93685785,235.025737843,0.00195751431059,0.000180990430098,2542,235,False
0.05,0.05,pooled_selected_outputs,inclusive,0.001,star_forming,10.8,11.2,11,0.132586152861,0.122169818566,0.14374585983,987.974147315,130.991691318,0.000760874828084,0.000100881466264,988,131,False
0.05,0.05,pooled_selected_outputs,inclusive,0.001,star_forming,11.2,11.6,11.4,0.385343366752,0.344451009966,0.427926872215,134.997794,52.020504444,0.000104005480268,4.00778219271e-05,135,52,False
0.05,0.05,pooled_selected_outputs,inclusive,0.001,star_forming,11.6,12,11.8,0,0.00131271404374,0.0630571020649,14.9999893706,0,1.15527875603e-05,0,15,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.001,quiescent,10,10.4,10.2,0,0.000169414302714,0.0083665472965,117.998633627,0,9.0893273906e-05,0,118,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.001,quiescent,10.4,10.8,10.6,0,0.000343887851504,0.0169111733943,57.9989908527,0,4.46771680809e-05,0,58,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.001,quiescent,10.8,11.2,11,0,0.000185064174424,0.00913594608947,107.998094617,0,8.3171556918e-05,0,108,0,True
0.05,0.05,pooled_selected_outputs,inclusive,0.001,quiescent,11.2,11.6,11.4,0,0.000130724914987,0.00646193480965,152.998642439,0,0.000117819008543,0,153,0,True
