observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,prediction_plot,prediction_sigma_plot
mzr_blanc2019,massMetallicityBlanc2019,6,9.0,8.4,0.0050000000000000044,8.33434665987351,0.08828414441320416
mzr_blanc2019,massMetallicityBlanc2019,7,9.05,8.4,0.0,8.34929502558258,0.08524899829801834
mzr_blanc2019,massMetallicityBlanc2019,8,9.1,8.41,0.0050000000000000044,8.364419649042306,0.08218503668030036
mzr_blanc2019,massMetallicityBlanc2019,9,9.15,8.41,0.0050000000000000044,8.379934564646433,0.07912169237934905
mzr_blanc2019,massMetallicityBlanc2019,10,9.2,8.42,0.0,8.39583637632209,0.07608886754916436
mzr_blanc2019,massMetallicityBlanc2019,11,9.25,8.42,0.0,8.411962650839264,0.073158679183675
mzr_blanc2019,massMetallicityBlanc2019,12,9.3,8.45,0.0049999999999999975,8.428330480670926,0.07040272385087286
mzr_blanc2019,massMetallicityBlanc2019,13,9.35,8.45,0.0,8.445186442557164,0.06786934240371004
mzr_blanc2019,massMetallicityBlanc2019,14,9.4,8.46,0.0050000000000000044,8.46270590297895,0.06559170030830683
mzr_blanc2019,massMetallicityBlanc2019,15,9.45,8.47,0.0050000000000000044,8.480975780537078,0.06362116534875065
mzr_blanc2019,massMetallicityBlanc2019,16,9.5,8.48,0.0049999999999999975,8.499568018536747,0.061895006815198175
mzr_blanc2019,massMetallicityBlanc2019,17,9.55,8.48,0.0049999999999999975,8.518065091746728,0.060292218641793044
mzr_blanc2019,massMetallicityBlanc2019,18,9.6,8.51,0.0049999999999999975,8.536312593541428,0.05883083617081508
mzr_blanc2019,massMetallicityBlanc2019,19,9.65,8.53,0.010000000000000009,8.55440621307459,0.05747562332245278
mzr_blanc2019,massMetallicityBlanc2019,20,9.7,8.53,0.0,8.572346064827602,0.05610267233126264
mzr_blanc2019,massMetallicityBlanc2019,21,9.75,8.56,0.0050000000000000044,8.590321360276793,0.054778288835664095
mzr_blanc2019,massMetallicityBlanc2019,22,9.8,8.58,0.0,8.608458432112748,0.05368449488436858
mzr_blanc2019,massMetallicityBlanc2019,23,9.85,8.62,0.0,8.626521120964545,0.05289732062692328
mzr_blanc2019,massMetallicityBlanc2019,24,9.9,8.65,0.0049999999999999906,8.644229371495097,0.052402029405781037
mzr_blanc2019,massMetallicityBlanc2019,25,9.95,8.69,0.0049999999999999906,8.661548122809094,0.052196550959428246
mzr_blanc2019,massMetallicityBlanc2019,26,10.0,8.71,0.010000000000000009,8.678266421197927,0.05221642549849456
mzr_blanc2019,massMetallicityBlanc2019,27,10.05,8.74,0.010000000000000009,8.694439773700505,0.052487218903938086
mzr_blanc2019,massMetallicityBlanc2019,28,10.1,8.74,0.010000000000000009,8.710457346576119,0.05363386778910346
mzr_blanc2019,massMetallicityBlanc2019,29,10.15,8.78,0.0049999999999999975,8.726001993283955,0.05496969850632666
mzr_blanc2019,massMetallicityBlanc2019,30,10.2,8.78,0.0049999999999999975,8.740585716847805,0.055746816067361815
mzr_blanc2019,massMetallicityBlanc2019,31,10.25,8.8,0.0050000000000000044,8.754475298327577,0.05604757888702791
mzr_blanc2019,massMetallicityBlanc2019,32,10.3,8.8,0.0050000000000000044,8.767171613323649,0.05635404334222393
mzr_blanc2019,massMetallicityBlanc2019,33,10.35,8.8,0.0050000000000000044,8.778901358344486,0.05689716966985501
mzr_blanc2019,massMetallicityBlanc2019,34,10.4,8.81,0.010000000000000002,8.790421010268602,0.0580556376979283
mzr_blanc2019,massMetallicityBlanc2019,35,10.45,8.82,0.0049999999999999975,8.798914070837844,0.05845289579746408
mzr_blanc2019,massMetallicityBlanc2019,36,10.5,8.82,0.0049999999999999975,8.806614086479234,0.059697823560365924
mzr_blanc2019,massMetallicityBlanc2019,37,10.55,8.82,0.009999999999999995,8.811744963054204,0.06030228852145585
mzr_blanc2019,massMetallicityBlanc2019,38,10.6,8.82,0.009999999999999995,8.818066800869024,0.06198297487033553
mzr_blanc2019,massMetallicityBlanc2019,39,10.65,8.82,0.009999999999999995,8.825381500528577,0.06363770155005076
mzr_blanc2019,massMetallicityBlanc2019,40,10.7,8.85,0.0,8.832987600815224,0.06565170820882393
mzr_blanc2019,massMetallicityBlanc2019,41,10.75,8.84,0.0050000000000000044,8.841817352609603,0.06776454855931097
mzr_blanc2019,massMetallicityBlanc2019,42,10.8,8.84,0.0050000000000000044,8.851284269433112,0.06943611499377832
mzr_blanc2019,massMetallicityBlanc2019,43,10.85,8.84,0.0050000000000000044,8.864482121347903,0.07091715938885676
mzr_blanc2019,massMetallicityBlanc2019,44,10.9,8.86,0.0050000000000000044,8.878809940398543,0.0725797069727179
mzr_blanc2019,massMetallicityBlanc2019,45,10.95,8.84,0.0050000000000000044,8.890768250468906,0.07446543230919223
mzr_blanc2019,massMetallicityBlanc2019,46,11.0,8.83,0.0050000000000000044,8.908007054768133,0.07650126536079148
mzr_blanc2019,massMetallicityBlanc2019,47,11.05,8.84,0.0050000000000000044,8.920918551880364,0.07767801754775326
mzr_blanc2019,massMetallicityBlanc2019,48,11.1,8.83,0.0050000000000000044,8.932771861704124,0.07735915143384128
