evaluation_id,dust_draw_index,dust_case,scatter_mode,delta_0,delta_z,delta_M,delta_Mz,attenuation_scatter,z_pivot,observable,observable_label,sample_label,output_name,redshift,bin_index,log10_luminosity_min,log10_luminosity_center,log10_luminosity_max,phi_mpc3_dex,phi_mpc3_dex_shot_noise_std_conservative,phi_mpc3_dex_shot_noise_std_smoothed_expectation,log10_phi_shot_noise_std_conservative,log10_phi_shot_noise_std_smoothed_expectation,dn_dlnL_mpc3,dn_dlnL_mpc3_shot_noise_std_conservative,dn_dlnL_mpc3_shot_noise_std_smoothed_expectation,log10_dn_dlnL_shot_noise_std_conservative,log10_dn_dlnL_shot_noise_std_smoothed_expectation,z_min,z_max,target_redshift
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,11,42.75,42.800000000000004,42.85,0.0005703145717952116,0.00013314489267177517,8.523125343467494e-05,0.10138982070708184,0.06490358984842562,0.00024768447147967634,5.782409218095267e-05,3.70154630523769e-05,0.10138982070708184,0.06490358984842562,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,12,42.85,42.9,42.95,0.0006161072596103684,0.00013838704660518088,9.479662884559767e-05,0.09754913575523588,0.06682221669764082,0.0002675719831093172,6.010073070751819e-05,4.1169652810673694e-05,0.0975491357552359,0.06682221669764082,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,13,42.95,43.0,43.1,0.0005165697577622958,0.00010346325487551933,7.946708248819773e-05,0.08698441981356625,0.0668101740354995,0.00022434339531426453,4.4933520672187756e-05,3.451211541757481e-05,0.08698441981356625,0.06681017403549952,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z4,Output6,2.23,14,43.1,43.2,43.300000000000004,0.0003498049245891746,7.37335662191514e-05,6.0225692635511554e-05,0.09154268190373113,0.07477220628360878,0.00015191834849166165,3.2022080940025474e-05,2.6155685980403977e-05,0.09154268190373115,0.07477220628360877,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,oii_comparat,[OII] Comparat,z0.100_0.240,Output18,0.10000000000000009,0,40.5,40.625,40.75,0.0074748819615007315,0.00030485929641280916,0.00023255032728331857,0.01771248173160572,0.013511293479163336,0.0032462999887579226,0.0001323987101889908,0.00010099532390394047,0.017712481731605716,0.013511293479163335,0.1,0.24,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,oii_comparat,[OII] Comparat,z0.100_0.240,Output18,0.10000000000000009,1,40.75,40.875,41.0,0.00696167578865954,0.00029420779185355955,0.00022578327806727048,0.018353744761150943,0.014085176435589755,0.0030234173798143068,0.00012777282053494138,9.805643177064305e-05,0.018353744761150943,0.014085176435589751,0.1,0.24,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,oii_comparat,[OII] Comparat,z0.100_0.240,Output18,0.10000000000000009,2,41.0,41.125,41.25,0.005383851613572496,0.0002587282281362742,0.00019785726535387045,0.020870605257567523,0.01596038017300313,0.0023381770471604534,0.00011236424179218954,8.592831854765338e-05,0.020870605257567527,0.015960380173003132,0.1,0.24,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,oii_comparat,[OII] Comparat,z0.100_0.240,Output18,0.10000000000000009,3,41.25,41.375,41.5,0.0030534018094304748,0.0001948449942386872,0.00014734075911300266,0.027713386938784914,0.020956717338864974,0.0013260755568690597,8.462010582433274e-05,6.39892786422133e-05,0.02771338693878491,0.02095671733886497,0.1,0.24,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,oii_comparat,[OII] Comparat,z0.100_0.240,Output18,0.10000000000000009,4,41.5,41.625,41.75,0.0008760909063127813,0.0001043690810806847,7.047625448766721e-05,0.05173768574476204,0.034936384122535004,0.00038048144625725967,4.5326915994654434e-05,3.0607448429203154e-05,0.051737685744762035,0.034936384122535004,0.1,0.24,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,oii_comparat,[OII] Comparat,z0.100_0.240,Output18,0.10000000000000009,5,41.75,41.875,42.0,0.0001222981036138193,3.899483929832383e-05,2.2831545676163288e-05,0.1384751114656898,0.08107741663591364,5.311339154671386e-05,1.693524352996611e-05,9.915614300479763e-06,0.1384751114656898,0.08107741663591364,0.1,0.24,
